test_case,seed,model,angle_deg,target_cos,hit_rank,hit_name,hit_sim,hit_is_target
rice + South_Asian,rice,cooc,0,1.000000,5,dashi,0.307500,False
rice + South_Asian,rice,cooc,30,0.866025,1,curry_leaf,0.445400,True
rice + South_Asian,rice,cooc,30,0.866025,2,masoor_dal,0.432400,True
rice + South_Asian,rice,cooc,30,0.866025,3,urad_dal,0.419800,True
rice + South_Asian,rice,cooc,30,0.866025,4,chana_dal,0.404900,True
rice + South_Asian,rice,cooc,30,0.866025,5,fenugreek_seed,0.402300,True
rice + South_Asian,rice,cooc,60,0.500000,1,curry_leaf,0.569600,True
rice + South_Asian,rice,cooc,60,0.500000,2,chana_dal,0.544100,True
rice + South_Asian,rice,cooc,60,0.500000,3,urad_dal,0.536000,True
rice + South_Asian,rice,cooc,60,0.500000,4,masoor_dal,0.518200,True
rice + South_Asian,rice,cooc,60,0.500000,5,horse_gram,0.511700,True
rice + South_Asian,rice,core,0,1.000000,1,shiitake_mushroom,0.595900,False
rice + South_Asian,rice,core,0,1.000000,2,nori,0.594300,False
rice + South_Asian,rice,core,0,1.000000,3,bok_choy,0.583900,False
rice + South_Asian,rice,core,0,1.000000,4,sesame_seed,0.571800,False
rice + South_Asian,rice,core,0,1.000000,5,pea,0.571300,False
rice + South_Asian,rice,core,30,0.866025,1,chana_dal,0.697600,True
rice + South_Asian,rice,core,30,0.866025,2,fenugreek_leaf,0.691900,True
rice + South_Asian,rice,core,30,0.866025,3,urad_dal,0.683800,True
rice + South_Asian,rice,core,30,0.866025,4,toor_dal,0.674100,True
rice + South_Asian,rice,core,30,0.866025,5,horse_gram,0.668400,True
rice + South_Asian,rice,core,60,0.500000,1,chana_dal,0.743300,True
rice + South_Asian,rice,core,60,0.500000,2,toor_dal,0.722400,True
rice + South_Asian,rice,core,60,0.500000,3,kashmiri_chili,0.721200,True
rice + South_Asian,rice,core,60,0.500000,4,urad_dal,0.720000,True
rice + South_Asian,rice,core,60,0.500000,5,horse_gram,0.714500,True
rice + South_Asian,rice,chem,0,1.000000,1,caviar,0.310000,False
rice + South_Asian,rice,chem,0,1.000000,2,nori,0.300600,False
rice + South_Asian,rice,chem,0,1.000000,3,wheat,0.296900,False
rice + South_Asian,rice,chem,0,1.000000,4,millet,0.296600,False
rice + South_Asian,rice,chem,0,1.000000,5,puzi_leaf,0.291900,False
rice + South_Asian,rice,chem,30,0.866025,1,chana_dal,0.461100,True
rice + South_Asian,rice,chem,30,0.866025,2,toor_dal,0.458700,True
rice + South_Asian,rice,chem,30,0.866025,3,fenugreek_seed,0.440700,True
rice + South_Asian,rice,chem,30,0.866025,4,kashmiri_chili,0.438400,True
rice + South_Asian,rice,chem,30,0.866025,5,sambar_powder,0.417400,True
rice + South_Asian,rice,chem,60,0.500000,1,chana_dal,0.638700,True
rice + South_Asian,rice,chem,60,0.500000,2,kashmiri_chili,0.629800,True
rice + South_Asian,rice,chem,60,0.500000,3,toor_dal,0.623800,True
rice + South_Asian,rice,chem,60,0.500000,4,fenugreek_seed,0.576000,True
rice + South_Asian,rice,chem,60,0.500000,5,amchur,0.571100,True
corn + Latin_American,corn,cooc,0,1.000000,1,pea,0.313700,False
corn + Latin_American,corn,cooc,0,1.000000,2,scallion,0.311100,False
corn + Latin_American,corn,cooc,0,1.000000,3,shrimp,0.304300,False
corn + Latin_American,corn,cooc,0,1.000000,4,red_onion,0.300500,False
corn + Latin_American,corn,cooc,0,1.000000,5,rice,0.300000,False
corn + Latin_American,corn,cooc,30,0.866025,1,salsa_verde,0.424200,True
corn + Latin_American,corn,cooc,30,0.866025,2,tomatillo,0.420900,True
corn + Latin_American,corn,cooc,30,0.866025,3,queso_fresco,0.412200,True
corn + Latin_American,corn,cooc,30,0.866025,4,fajita_seasoning,0.406500,True
corn + Latin_American,corn,cooc,30,0.866025,5,corn_tortilla,0.383900,True
corn + Latin_American,corn,cooc,60,0.500000,1,tomatillo,0.502900,True
corn + Latin_American,corn,cooc,60,0.500000,2,queso_fresco,0.475900,True
corn + Latin_American,corn,cooc,60,0.500000,3,corn_tortilla,0.457300,True
corn + Latin_American,corn,cooc,60,0.500000,4,salsa_verde,0.448600,True
corn + Latin_American,corn,cooc,60,0.500000,5,refried_beans,0.444400,True
corn + Latin_American,corn,core,0,1.000000,1,bell_pepper,0.569300,False
corn + Latin_American,corn,core,0,1.000000,2,potato,0.546000,False
corn + Latin_American,corn,core,0,1.000000,3,carrot,0.537700,False
corn + Latin_American,corn,core,0,1.000000,4,pinto_bean,0.537400,True
corn + Latin_American,corn,core,0,1.000000,5,cheddar_cheese,0.530600,False
corn + Latin_American,corn,core,30,0.866025,1,tomatillo,0.639600,True
corn + Latin_American,corn,core,30,0.866025,2,corn_tortilla,0.616800,True
corn + Latin_American,corn,core,30,0.866025,3,epazote,0.610800,True
corn + Latin_American,corn,core,30,0.866025,4,salsa,0.610200,True
corn + Latin_American,corn,core,30,0.866025,5,nopal,0.603400,True
corn + Latin_American,corn,core,60,0.500000,1,tomatillo,0.580200,True
corn + Latin_American,corn,core,60,0.500000,2,corn_tortilla,0.553000,True
corn + Latin_American,corn,core,60,0.500000,3,nopal,0.550000,True
corn + Latin_American,corn,core,60,0.500000,4,queso_fresco,0.540900,True
corn + Latin_American,corn,core,60,0.500000,5,epazote,0.540600,True
corn + Latin_American,corn,chem,0,1.000000,1,tortilla,0.336200,True
corn + Latin_American,corn,chem,0,1.000000,2,guascas,0.335500,True
corn + Latin_American,corn,chem,0,1.000000,3,red_pepper,0.334600,False
corn + Latin_American,corn,chem,0,1.000000,4,oregano,0.303000,False
corn + Latin_American,corn,chem,0,1.000000,5,epazote,0.300700,True
corn + Latin_American,corn,chem,30,0.866025,1,corn_tortilla,0.460000,True
corn + Latin_American,corn,chem,30,0.866025,2,queso_fresco,0.443100,True
corn + Latin_American,corn,chem,30,0.866025,3,epazote,0.441100,True
corn + Latin_American,corn,chem,30,0.866025,4,salsa,0.438600,True
corn + Latin_American,corn,chem,30,0.866025,5,enchilada_sauce,0.436600,True
corn + Latin_American,corn,chem,60,0.500000,1,corn_tortilla,0.548400,True
corn + Latin_American,corn,chem,60,0.500000,2,queso_fresco,0.534400,True
corn + Latin_American,corn,chem,60,0.500000,3,salsa,0.513500,True
corn + Latin_American,corn,chem,60,0.500000,4,guajillo_chile,0.501300,True
corn + Latin_American,corn,chem,60,0.500000,5,poblano_pepper,0.491600,True
lamb + Eastern_European,lamb,cooc,0,1.000000,1,fennel,0.299300,False
lamb + Eastern_European,lamb,cooc,0,1.000000,2,salmon,0.295400,False
lamb + Eastern_European,lamb,cooc,0,1.000000,3,duck,0.294300,False
lamb + Eastern_European,lamb,cooc,0,1.000000,4,zucchini,0.291200,False
lamb + Eastern_European,lamb,cooc,0,1.000000,5,coriander,0.278900,False
lamb + Eastern_European,lamb,cooc,30,0.866025,1,bryndza,0.368000,True
lamb + Eastern_European,lamb,cooc,30,0.866025,2,utskho_suneli,0.355500,True
lamb + Eastern_European,lamb,cooc,30,0.866025,3,matsoni,0.353000,True
lamb + Eastern_European,lamb,cooc,30,0.866025,4,khmeli_suneli,0.352400,True
lamb + Eastern_European,lamb,cooc,30,0.866025,5,dill,0.324700,False
lamb + Eastern_European,lamb,cooc,60,0.500000,1,bryndza,0.480700,True
lamb + Eastern_European,lamb,cooc,60,0.500000,2,adjika,0.463000,True
lamb + Eastern_European,lamb,cooc,60,0.500000,3,matsoni,0.434500,True
lamb + Eastern_European,lamb,cooc,60,0.500000,4,utskho_suneli,0.414900,True
lamb + Eastern_European,lamb,cooc,60,0.500000,5,kvass,0.390000,True
lamb + Eastern_European,lamb,core,0,1.000000,1,fennel_seed,0.529600,False
lamb + Eastern_European,lamb,core,0,1.000000,2,olive_oil,0.522000,False
lamb + Eastern_European,lamb,core,0,1.000000,3,red_onion,0.520700,False
lamb + Eastern_European,lamb,core,0,1.000000,4,ras_el_hanout,0.514400,False
lamb + Eastern_European,lamb,core,0,1.000000,5,sumac,0.505900,False
lamb + Eastern_European,lamb,core,30,0.866025,1,adjika,0.580600,True
lamb + Eastern_European,lamb,core,30,0.866025,2,utskho_suneli,0.546200,True
lamb + Eastern_European,lamb,core,30,0.866025,3,sumac,0.509100,False
lamb + Eastern_European,lamb,core,30,0.866025,4,barberry,0.503100,True
lamb + Eastern_European,lamb,core,30,0.866025,5,narsharab,0.502500,True
lamb + Eastern_European,lamb,core,60,0.500000,1,adjika,0.588900,True
lamb + Eastern_European,lamb,core,60,0.500000,2,sulguni_cheese,0.521400,True
lamb + Eastern_European,lamb,core,60,0.500000,3,utskho_suneli,0.516000,True
lamb + Eastern_European,lamb,core,60,0.500000,4,matsoni,0.504500,True
lamb + Eastern_European,lamb,core,60,0.500000,5,kvass,0.480300,True
lamb + Eastern_European,lamb,chem,0,1.000000,1,peanut_oil,0.325200,False
lamb + Eastern_European,lamb,chem,0,1.000000,2,goat_cheese,0.286800,False
lamb + Eastern_European,lamb,chem,0,1.000000,3,coriander,0.279000,False
lamb + Eastern_European,lamb,chem,0,1.000000,4,chu_hou_paste,0.260700,False
lamb + Eastern_European,lamb,chem,0,1.000000,5,fermented_chive_flower_paste,0.260000,False
lamb + Eastern_European,lamb,chem,30,0.866025,1,adjika,0.406100,True
lamb + Eastern_European,lamb,chem,30,0.866025,2,utskho_suneli,0.375700,True
lamb + Eastern_European,lamb,chem,30,0.866025,3,narsharab,0.331200,True
lamb + Eastern_European,lamb,chem,30,0.866025,4,barberry,0.330400,True
lamb + Eastern_European,lamb,chem,30,0.866025,5,sulguni_cheese,0.327700,True
lamb + Eastern_European,lamb,chem,60,0.500000,1,adjika,0.544400,True
lamb + Eastern_European,lamb,chem,60,0.500000,2,sulguni_cheese,0.476500,True
lamb + Eastern_European,lamb,chem,60,0.500000,3,matsoni,0.469000,True
lamb + Eastern_European,lamb,chem,60,0.500000,4,narsharab,0.459900,True
lamb + Eastern_European,lamb,chem,60,0.500000,5,utskho_suneli,0.428800,True
chicken + whole + Mediterranean,chicken,cooc,0,1.000000,1,garlic,0.393400,True
chicken + whole + Mediterranean,chicken,cooc,0,1.000000,2,onion,0.366200,True
chicken + whole + Mediterranean,chicken,cooc,0,1.000000,3,black_pepper,0.358100,True
chicken + whole + Mediterranean,chicken,cooc,0,1.000000,4,turkey,0.348000,True
chicken + whole + Mediterranean,chicken,cooc,0,1.000000,5,carrot,0.342500,True
chicken + whole + Mediterranean,chicken,cooc,30,0.866025,1,garlic,0.411600,True
chicken + whole + Mediterranean,chicken,cooc,30,0.866025,2,black_pepper,0.403300,True
chicken + whole + Mediterranean,chicken,cooc,30,0.866025,3,paprika,0.353600,False
chicken + whole + Mediterranean,chicken,cooc,30,0.866025,4,onion,0.346600,True
chicken + whole + Mediterranean,chicken,cooc,30,0.866025,5,quail,0.345900,True
chicken + whole + Mediterranean,chicken,cooc,60,0.500000,1,thyme,0.347200,True
chicken + whole + Mediterranean,chicken,cooc,60,0.500000,2,ricotta_salata,0.343300,True
chicken + whole + Mediterranean,chicken,cooc,60,0.500000,3,pine_nut,0.343200,True
chicken + whole + Mediterranean,chicken,cooc,60,0.500000,4,black_pepper,0.340400,True
chicken + whole + Mediterranean,chicken,cooc,60,0.500000,5,fennel,0.321700,True
chicken + whole + Mediterranean,chicken,core,0,1.000000,1,pork,0.580800,True
chicken + whole + Mediterranean,chicken,core,0,1.000000,2,beef,0.571200,True
chicken + whole + Mediterranean,chicken,core,0,1.000000,3,chicken_broth,0.549900,False
chicken + whole + Mediterranean,chicken,core,0,1.000000,4,peanut,0.523300,True
chicken + whole + Mediterranean,chicken,core,0,1.000000,5,cream_of_chicken_soup,0.521700,False
chicken + whole + Mediterranean,chicken,core,30,0.866025,1,parmesan_cheese,0.521300,True
chicken + whole + Mediterranean,chicken,core,30,0.866025,2,tomato,0.518300,True
chicken + whole + Mediterranean,chicken,core,30,0.866025,3,olive_oil,0.514100,False
chicken + whole + Mediterranean,chicken,core,30,0.866025,4,basil,0.511500,True
chicken + whole + Mediterranean,chicken,core,30,0.866025,5,green_bean,0.508500,True
chicken + whole + Mediterranean,chicken,core,60,0.500000,1,artichoke,0.471900,True
chicken + whole + Mediterranean,chicken,core,60,0.500000,2,farro,0.468800,True
chicken + whole + Mediterranean,chicken,core,60,0.500000,3,cardoon,0.466600,True
chicken + whole + Mediterranean,chicken,core,60,0.500000,4,rosemary,0.462500,True
chicken + whole + Mediterranean,chicken,core,60,0.500000,5,basil,0.458300,True
chicken + whole + Mediterranean,chicken,chem,0,1.000000,1,beef,0.405100,True
chicken + whole + Mediterranean,chicken,chem,0,1.000000,2,pork,0.339700,True
chicken + whole + Mediterranean,chicken,chem,0,1.000000,3,cream_of_chicken_soup,0.310700,False
chicken + whole + Mediterranean,chicken,chem,0,1.000000,4,buffalo_wing_sauce,0.288200,False
chicken + whole + Mediterranean,chicken,chem,0,1.000000,5,peanut,0.282100,True
chicken + whole + Mediterranean,chicken,chem,30,0.866025,1,beef,0.321700,True
chicken + whole + Mediterranean,chicken,chem,30,0.866025,2,butternut_squash,0.319300,True
chicken + whole + Mediterranean,chicken,chem,30,0.866025,3,olive_oil,0.281300,False
chicken + whole + Mediterranean,chicken,chem,30,0.866025,4,swiss_chard,0.274400,True
chicken + whole + Mediterranean,chicken,chem,30,0.866025,5,wild_rice,0.271600,True
chicken + whole + Mediterranean,chicken,chem,60,0.500000,1,butternut_squash,0.358000,True
chicken + whole + Mediterranean,chicken,chem,60,0.500000,2,swiss_chard,0.332500,True
chicken + whole + Mediterranean,chicken,chem,60,0.500000,3,ricotta_salata,0.321900,True
chicken + whole + Mediterranean,chicken,chem,60,0.500000,4,caper,0.319900,True
chicken + whole + Mediterranean,chicken,chem,60,0.500000,5,olive_oil,0.319700,False
chicken + processed + Western_Atlantic,chicken,cooc,0,1.000000,1,garlic,0.393400,False
chicken + processed + Western_Atlantic,chicken,cooc,0,1.000000,2,onion,0.366200,False
chicken + processed + Western_Atlantic,chicken,cooc,0,1.000000,3,black_pepper,0.358100,False
chicken + processed + Western_Atlantic,chicken,cooc,0,1.000000,4,turkey,0.348000,False
chicken + processed + Western_Atlantic,chicken,cooc,0,1.000000,5,carrot,0.342500,False
chicken + processed + Western_Atlantic,chicken,cooc,30,0.866025,1,turkey,0.424300,False
chicken + processed + Western_Atlantic,chicken,cooc,30,0.866025,2,swiss_cheese,0.391700,True
chicken + processed + Western_Atlantic,chicken,cooc,30,0.866025,3,onion,0.380200,False
chicken + processed + Western_Atlantic,chicken,cooc,30,0.866025,4,steak_sauce,0.349100,True
chicken + processed + Western_Atlantic,chicken,cooc,30,0.866025,5,sour_cream,0.341200,True
chicken + processed + Western_Atlantic,chicken,cooc,60,0.500000,1,swiss_cheese,0.421000,True
chicken + processed + Western_Atlantic,chicken,cooc,60,0.500000,2,steak_sauce,0.394900,True
chicken + processed + Western_Atlantic,chicken,cooc,60,0.500000,3,turkey,0.386900,False
chicken + processed + Western_Atlantic,chicken,cooc,60,0.500000,4,sour_cream,0.363700,True
chicken + processed + Western_Atlantic,chicken,cooc,60,0.500000,5,ranch_dressing,0.357000,True
chicken + processed + Western_Atlantic,chicken,core,0,1.000000,1,pork,0.580800,False
chicken + processed + Western_Atlantic,chicken,core,0,1.000000,2,beef,0.571200,False
chicken + processed + Western_Atlantic,chicken,core,0,1.000000,3,chicken_broth,0.549900,True
chicken + processed + Western_Atlantic,chicken,core,0,1.000000,4,peanut,0.523300,False
chicken + processed + Western_Atlantic,chicken,core,0,1.000000,5,cream_of_chicken_soup,0.521700,True
chicken + processed + Western_Atlantic,chicken,core,30,0.866025,1,cheddar_cheese,0.558300,True
chicken + processed + Western_Atlantic,chicken,core,30,0.866025,2,cream_of_chicken_soup,0.551300,True
chicken + processed + Western_Atlantic,chicken,core,30,0.866025,3,alfredo_sauce,0.531200,True
chicken + processed + Western_Atlantic,chicken,core,30,0.866025,4,beef,0.518900,False
chicken + processed + Western_Atlantic,chicken,core,30,0.866025,5,turkey,0.510300,False
chicken + processed + Western_Atlantic,chicken,core,60,0.500000,1,cheddar_cheese,0.454200,True
chicken + processed + Western_Atlantic,chicken,core,60,0.500000,2,cream_of_chicken_soup,0.433200,True
chicken + processed + Western_Atlantic,chicken,core,60,0.500000,3,crescent_roll,0.426200,True
chicken + processed + Western_Atlantic,chicken,core,60,0.500000,4,alfredo_sauce,0.423800,True
chicken + processed + Western_Atlantic,chicken,core,60,0.500000,5,ranch_dressing,0.421600,True
chicken + processed + Western_Atlantic,chicken,chem,0,1.000000,1,beef,0.405100,False
chicken + processed + Western_Atlantic,chicken,chem,0,1.000000,2,pork,0.339700,False
chicken + processed + Western_Atlantic,chicken,chem,0,1.000000,3,cream_of_chicken_soup,0.310700,True
chicken + processed + Western_Atlantic,chicken,chem,0,1.000000,4,buffalo_wing_sauce,0.288200,True
chicken + processed + Western_Atlantic,chicken,chem,0,1.000000,5,peanut,0.282100,False
chicken + processed + Western_Atlantic,chicken,chem,30,0.866025,1,cream_of_chicken_soup,0.395900,True
